STRIPCD1\11\0621.raw2 - 0x1dcac, 0x37800
STRIPCD1\11\0622 - 0x1dd1b, 0x42e8
STRIPCD1\11\0623.raw2 - 0x1dd24, 0x1e000
STRIPCD1\11\0624 - 0x1dd60, 0xcab4
STRIPCD1\11\0625.raw2 - 0x1dd7a, 0x4d800
STRIPCD1\11\0626 - 0x1de15, 0x37ac
STRIPCD1\11\0627.raw2 - 0x1de1c, 0x2b000
STRIPCD1\11\0628 - 0x1de72, 0x4474
STRIPCD1\11\0629.raw2 - 0x1de7b, 0x32800
STRIPCD1\11\0630 - 0x1dee0, 0x37dc
STRIPCD1\11\0631.raw2 - 0x1dee7, 0x29000
STRIPCD1\11\0632 - 0x1df39, 0xabd4
STRIPCD1\11\0633.raw2 - 0x1df4f, 0x65800
STRIPCD1\11\0634 - 0x1e01a, 0x7a3c
STRIPCD1\11\0635.raw2 - 0x1e02a, 0x53000
STRIPCD1\11\0636 - 0x1e0d0, 0x1bbd8
STRIPCD1\11\0637.raw2 - 0x1e108, 0x5d000
STRIPCD1\11\0638 - 0x1e1c2, 0xa014
STRIPCD1\11\0639.raw2 - 0x1e1d7, 0x1b800
STRIPCD1\11\0640 - 0x1e20e, 0x1bce4
STRIPCD1\11\0641.raw2 - 0x1e246, 0x60800
STRIPCD1\11\0642 - 0x1e307, 0x272c
STRIPCD1\11\0643.raw2 - 0x1e30c, 0x1a800
STRIPCD1\11\0644 - 0x1e341, 0x8c58
STRIPCD1\11\0645.raw2 - 0x1e353, 0x5e000
STRIPCD1\11\0646 - 0x1e40f, 0x3d0c
STRIPCD1\11\0647.raw2 - 0x1e417, 0x2c800
STRIPCD1\11\0648 - 0x1e470, 0xa900
STRIPCD1\11\0649.raw2 - 0x1e486, 0x40000
STRIPCD1\11\0650 - 0x1e506, 0x21550
STRIPCD1\11\0651.raw2 - 0x1e549, 0x44800
STRIPCD1\11\0652 - 0x1e5d2, 0x1aba0
STRIPCD1\11\0653.raw2 - 0x1e608, 0x3e800
STRIPCD1\11\0654 - 0x1e685, 0x17660
STRIPCD1\11\0655.raw2 - 0x1e6b4, 0x43800
STRIPCD1\11\0656 - 0x1e73b, 0x6dec
STRIPCD1\11\0657.raw2 - 0x1e749, 0x56800
STRIPCD1\11\0658 - 0x1e7f6, 0xc1a4
STRIPCD1\11\0659.raw2 - 0x1e80f, 0x56800
STRIPCD1\11\0660 - 0x1e8bc, 0x7b18
STRIPCD1\11\0661.raw2 - 0x1e8cc, 0xf800
STRIPCD1\11\0662 - 0x1e8eb, 0x1151c
STRIPCD1\11\0663.raw2 - 0x1e90e, 0x44000
STRIPCD1\11\0664 - 0x1e996, 0x652c
STRIPCD1\11\0665.raw2 - 0x1e9a3, 0x29800
STRIPCD1\11\0666 - 0x1e9f6, 0x10924
STRIPCD1\11\0667.raw2 - 0x1ea18, 0x20000
STRIPCD1\11\0668 - 0x1ea58, 0xb244
STRIPCD1\11\0669.raw2 - 0x1ea6f, 0x29800
STRIPCD1\11\0670 - 0x1eac2, 0xb164
STRIPCD1\11\0671.raw2 - 0x1ead9, 0x32800
STRIPCD1\11\0672 - 0x1eb3e, 0x75a4
STRIPCD1\11\0673.raw2 - 0x1eb4d, 0x1a800
STRIPCD1\11\0674 - 0x1eb82, 0x9854
STRIPCD1\11\0675.raw2 - 0x1eb96, 0x21000
STRIPCD1\11\0676 - 0x1ebd8, 0x29fec
STRIPCD1\11\0677.raw2 - 0x1ec2c, 0x76800
STRIPCD1\11\0678 - 0x1ed19, 0xa2f0
STRIPCD1\11\0679.raw2 - 0x1ed2e, 0x19000
STRIPCD1\11\0680 - 0x1ed60, 0xcb64
STRIPCD1\11\0681.raw2 - 0x1ed7a, 0x24000
STRIPCD1\11\0682 - 0x1edc2, 0xe894
STRIPCD1\11\0683.raw2 - 0x1ede0, 0x18000
STRIPCD1\11\0684 - 0x1ee10, 0x3b1c
