800a5a18 : LW      800c0000 (a3), 3740 (800c0000 (a3)) [800c3740]
800a5e20 : LW      800c0000 (a0), 3740 (800c0000 (a0)) [800c3740]
800a5e30 : LW      800c0000 (a0), 3740 (800c0000 (a0)) [800c3740]
800a5e40 : LW      800c0000 (a0), 3740 (800c0000 (a0)) [800c3740]
800a5e50 : LW      800c0000 (v0), 3740 (800c0000 (v0)) [800c3740]
8007364c : SW      800b1970 (a0), 3740 (800c0000 (at)) [800c3740]
80073684 : LW      800c0000 (a0), 3740 (800c0000 (a0)) [800c3740]

800a5a18 : LW      800c0000 (a3), 3740 (800c0000 (a3)) [800c3740]
800a5a18 : LW      800c0000 (a3), 3740 (800c0000 (a3)) [800c3740]
800a5a18 : LW      800c0000 (a3), 3740 (800c0000 (a3)) [800c3740]
800a5a18 : LW      800c0000 (a3), 3740 (800c0000 (a3)) [800c3740]
800a5a18 : LW      800c0000 (a3), 3740 (800c0000 (a3)) [800c3740]
800a5e20 : LW      800c0000 (a0), 3740 (800c0000 (a0)) [800c3740]
800a5e30 : LW      800c0000 (a0), 3740 (800c0000 (a0)) [800c3740]
800a5e40 : LW      800c0000 (a0), 3740 (800c0000 (a0)) [800c3740]
800a5e50 : LW      800c0000 (v0), 3740 (800c0000 (v0)) [800c3740]
80070230 : SH      00000000 (v0), 0000 (800c2f3c (v1)) [800c2f3c]
80070234 : SH      00000000 (r0), 0000 (800c333c (a2)) [800c333c]
80070230 : SH      00000000 (v0), 0000 (800c2f3e (v1)) [800c2f3e]
80070234 : SH      00000000 (r0), 0000 (800c333e (a2)) [800c333e]
80070230 : SH      00000000 (v0), 0000 (800c2f40 (v1)) [800c2f40]
80070234 : SH      00000000 (r0), 0000 (800c3340 (a2)) [800c3340]
80070230 : SH      00000000 (v0), 0000 (800c2f42 (v1)) [800c2f42]
80070234 : SH      00000000 (r0), 0000 (800c3342 (a2)) [800c3342]
80070230 : SH      00000000 (v0), 0000 (800c2f44 (v1)) [800c2f44]
80070234 : SH      00000000 (r0), 0000 (800c3344 (a2)) [800c3344]
80070230 : SH      00000000 (v0), 0000 (800c2f46 (v1)) [800c2f46]
80070234 : SH      00000000 (r0), 0000 (800c3346 (a2)) [800c3346]
80070230 : SH      00000000 (v0), 0000 (800c2f48 (v1)) [800c2f48]
80070234 : SH      00000000 (r0), 0000 (800c3348 (a2)) [800c3348]
80070230 : SH      00000000 (v0), 0000 (800c2f4a (v1)) [800c2f4a]
80070234 : SH      00000000 (r0), 0000 (800c334a (a2)) [800c334a]
80070230 : SH      00000000 (v0), 0000 (800c2f4c (v1)) [800c2f4c]
80070234 : SH      00000000 (r0), 0000 (800c334c (a2)) [800c334c]
80070230 : SH      00000000 (v0), 0000 (800c2f4e (v1)) [800c2f4e]
80070234 : SH      00000000 (r0), 0000 (800c334e (a2)) [800c334e]
80070230 : SH      00000000 (v0), 0000 (800c2f50 (v1)) [800c2f50]
80070234 : SH      00000000 (r0), 0000 (800c3350 (a2)) [800c3350]
80070230 : SH      00000000 (v0), 0000 (800c2f52 (v1)) [800c2f52]
80070234 : SH      00000000 (r0), 0000 (800c3352 (a2)) [800c3352]
80070230 : SH      00000000 (v0), 0000 (800c2f54 (v1)) [800c2f54]
80070234 : SH      00000000 (r0), 0000 (800c3354 (a2)) [800c3354]
80070230 : SH      00000000 (v0), 0000 (800c2f56 (v1)) [800c2f56]
80070234 : SH      00000000 (r0), 0000 (800c3356 (a2)) [800c3356]
80070230 : SH      00000000 (v0), 0000 (800c2f58 (v1)) [800c2f58]
80070234 : SH      00000000 (r0), 0000 (800c3358 (a2)) [800c3358]
80070230 : SH      00000000 (v0), 0000 (800c2f5a (v1)) [800c2f5a]
80070234 : SH      00000000 (r0), 0000 (800c335a (a2)) [800c335a]
80070230 : SH      00000000 (v0), 0000 (800c2f5c (v1)) [800c2f5c]
80070234 : SH      00000000 (r0), 0000 (800c335c (a2)) [800c335c]
80070230 : SH      00000000 (v0), 0000 (800c2f5e (v1)) [800c2f5e]
80070234 : SH      00000000 (r0), 0000 (800c335e (a2)) [800c335e]
80070230 : SH      00000000 (v0), 0000 (800c2f60 (v1)) [800c2f60]
80070234 : SH      00000000 (r0), 0000 (800c3360 (a2)) [800c3360]
80070230 : SH      00000000 (v0), 0000 (800c2f62 (v1)) [800c2f62]
80070234 : SH      00000000 (r0), 0000 (800c3362 (a2)) [800c3362]
80070230 : SH      00000000 (v0), 0000 (800c2f64 (v1)) [800c2f64]
80070234 : SH      00000000 (r0), 0000 (800c3364 (a2)) [800c3364]
80070230 : SH      00000000 (v0), 0000 (800c2f66 (v1)) [800c2f66]
80070234 : SH      00000000 (r0), 0000 (800c3366 (a2)) [800c3366]
80070230 : SH      00000000 (v0), 0000 (800c2f68 (v1)) [800c2f68]
80070234 : SH      00000000 (r0), 0000 (800c3368 (a2)) [800c3368]
80070230 : SH      00000000 (v0), 0000 (800c2f6a (v1)) [800c2f6a]
80070234 : SH      00000000 (r0), 0000 (800c336a (a2)) [800c336a]
80070230 : SH      00000000 (v0), 0000 (800c2f6c (v1)) [800c2f6c]
80070234 : SH      00000000 (r0), 0000 (800c336c (a2)) [800c336c]
80070230 : SH      00000000 (v0), 0000 (800c2f6e (v1)) [800c2f6e]
80070234 : SH      00000000 (r0), 0000 (800c336e (a2)) [800c336e]
80070230 : SH      00000000 (v0), 0000 (800c2f70 (v1)) [800c2f70]
80070234 : SH      00000000 (r0), 0000 (800c3370 (a2)) [800c3370]
80070230 : SH      00000000 (v0), 0000 (800c2f72 (v1)) [800c2f72]
80070234 : SH      00000000 (r0), 0000 (800c3372 (a2)) [800c3372]
80070230 : SH      00000000 (v0), 0000 (800c2f74 (v1)) [800c2f74]
80070234 : SH      00000000 (r0), 0000 (800c3374 (a2)) [800c3374]
80070230 : SH      00000000 (v0), 0000 (800c2f76 (v1)) [800c2f76]
80070234 : SH      00000000 (r0), 0000 (800c3376 (a2)) [800c3376]
80070230 : SH      00000000 (v0), 0000 (800c2f78 (v1)) [800c2f78]
80070234 : SH      00000000 (r0), 0000 (800c3378 (a2)) [800c3378]
80070230 : SH      00000000 (v0), 0000 (800c2f7a (v1)) [800c2f7a]
80070234 : SH      00000000 (r0), 0000 (800c337a (a2)) [800c337a]
80070230 : SH      00000000 (v0), 0000 (800c2f7c (v1)) [800c2f7c]
80070234 : SH      00000000 (r0), 0000 (800c337c (a2)) [800c337c]
80070230 : SH      00000000 (v0), 0000 (800c2f7e (v1)) [800c2f7e]
80070234 : SH      00000000 (r0), 0000 (800c337e (a2)) [800c337e]
80070230 : SH      00000000 (v0), 0000 (800c2f80 (v1)) [800c2f80]
80070234 : SH      00000000 (r0), 0000 (800c3380 (a2)) [800c3380]
80070230 : SH      00000000 (v0), 0000 (800c2f82 (v1)) [800c2f82]
80070234 : SH      00000000 (r0), 0000 (800c3382 (a2)) [800c3382]
80070230 : SH      00000000 (v0), 0000 (800c2f84 (v1)) [800c2f84]
80070234 : SH      00000000 (r0), 0000 (800c3384 (a2)) [800c3384]
80070230 : SH      00000000 (v0), 0000 (800c2f86 (v1)) [800c2f86]
80070234 : SH      00000000 (r0), 0000 (800c3386 (a2)) [800c3386]
80070230 : SH      00000000 (v0), 0000 (800c2f88 (v1)) [800c2f88]
80070234 : SH      00000000 (r0), 0000 (800c3388 (a2)) [800c3388]
80070230 : SH      00000000 (v0), 0000 (800c2f8a (v1)) [800c2f8a]
80070234 : SH      00000000 (r0), 0000 (800c338a (a2)) [800c338a]

80070230 : SH      00000001 (v0), 0000 (800c2f8c (v1)) [800c2f8c]
80070234 : SH      00000000 (r0), 0000 (800c338c (a2)) [800c338c]
80070230 : SH      00000000 (v0), 0000 (800c2f8e (v1)) [800c2f8e]
80070234 : SH      00000000 (r0), 0000 (800c338e (a2)) [800c338e]
80070230 : SH      00000000 (v0), 0000 (800c2f90 (v1)) [800c2f90]
80070234 : SH      00000000 (r0), 0000 (800c3390 (a2)) [800c3390]
80070230 : SH      00000000 (v0), 0000 (800c2f92 (v1)) [800c2f92]
